iter	Passed	Remaining
405	7028	10282
406	7041	10259
407	7055	10238
408	7066	10211
409	7079	10187
410	7093	10165
411	7108	10145
412	7123	10124
413	7137	10102
414	7147	10075
415	7161	10053
416	7173	10029
417	7191	10013
418	7213	10002
419	7234	9990
420	7256	9979
421	7271	9959
422	7287	9940
423	7301	9918
424	7313	9895
425	7332	9880
426	7346	9857
427	7359	9836
428	7372	9813
429	7387	9792
430	7402	9772
431	7415	9750
432	7431	9730
433	7445	9709
434	7459	9688
435	7474	9668
436	7488	9648
437	7503	9627
438	7518	9607
439	7530	9584
440	7548	9568
441	7561	9546
442	7573	9522
443	7587	9501
444	7602	9481
445	7615	9459
446	7629	9438
447	7647	9423
448	7664	9406
449	7682	9389
450	7698	9371
451	7719	9358
452	7738	9344
453	7753	9324
454	7768	9305
455	7786	9289
456	7801	9269
457	7814	9247
458	7828	9226
459	7842	9206
460	7859	9189
461	7876	9172
462	7891	9152
463	7904	9130
464	7918	9110
465	7932	9089
466	7944	9067
467	7958	9047
468	7975	9029
469	7988	9008
470	8002	8988
471	8017	8968
472	8033	8950
473	8046	8928
474	8060	8908
475	8075	8890
476	8090	8870
477	8104	8850
478	8118	8830
479	8131	8808
480	8150	8794
481	8168	8778
482	8191	8768
483	8209	8752
484	8223	8732
485	8235	8709
486	8248	8688
487	8261	8668
488	8276	8648
489	8292	8630
490	8306	8611
491	8321	8591
492	8335	8572
493	8349	8552
494	8364	8532
495	8378	8513
496	8388	8490
497	8404	8472
498	8418	8451
499	8432	8432
500	8445	8412
501	8459	8392
502	8474	8373
503	8487	8353
504	8503	8335
505	8518	8316
506	8532	8297
507	8547	8277
508	8559	8257
509	8572	8236
510	8586	8216
511	8599	8196
512	8619	8182
513	8635	8165
514	8653	8149
515	8671	8133
516	8689	8118
517	8703	8099
518	8732	8093
519	8763	8089
520	8783	8075
521	8804	8062
522	8842	8064
523	8873	8060
524	8889	8042
525	8903	8023
526	8918	8004
527	8937	7989
528	9042	8050
529	9071	8044
530	9109	8045
531	9130	8031
532	9172	8036
533	9193	8022
534	9237	8029
535	9266	8021
536	9310	8027
537	9335	8016
538	9364	8008
539	9403	8010
540	9436	8006
541	9481	8011
542	9519	8011
543	9548	8003
544	9647	8054
545	9687	8055
546	9778	8098
547	9810	8091
548	9882	8118
549	9906	8105
550	9931	8092
551	9959	8082
552	9985	8071
553	10015	8063
554	10070	8074
555	10144	8101
556	10225	8132
557	10254	8122
558	10301	8127
559	10333	8118
560	10364	8110
561	10407	8110
562	10437	8101
563	10472	8096
564	10518	8098
565	10543	8084
566	10570	8072
567	10614	8072
568	10639	8058
569	10667	8047
570	10684	8027
571	10739	8036
572	10777	8031
573	10798	8013
574	10828	8003
575	11028	8118
576	11051	8101
577	11182	8164
578	11263	8189
579	11289	8175
580	11373	8201
581	11459	8230
582	11498	8224
583	11522	8207
584	11543	8189
585	11576	8178
586	11598	8160
587	11620	8142
588	11644	8125
589	11667	8107
590	11699	8096
591	11719	8076
592	11749	8064
593	11769	8044
594	11794	8028
595	11818	8010
596	11854	8002
597	11902	8001
598	11948	7998
599	11981	7987
600	12013	7975
601	12047	7964
602	12080	7953
603	12127	7950
604	12190	7959
605	12270	7977
606	12330	7983
607	12400	7995
608	12429	7979
609	12458	7965
610	12492	7953
611	12519	7937
612	12547	7921
613	12573	7904
614	12602	7889
615	12626	7871
616	12647	7850
617	12676	7835
618	12698	7816
619	12721	7797
620	12777	7798
621	12805	7782
622	12940	7830
623	12967	7813
624	13038	7823
625	13096	7824
626	13125	7808
627	13213	7827
628	13291	7839
629	13324	7825
630	13347	7805
631	13387	7795
632	13422	7782
633	13452	7765
634	13480	7748
635	13506	7730
636	13528	7709
637	13563	7695
638	13588	7676
639	13618	7660
640	13657	7649
641	13714	7647
642	13742	7629
643	13766	7610
644	13790	7589
645	13813	7569
646	13835	7548
647	13861	7529
648	13882	7507
649	13922	7496
650	13944	7475
651	13976	7459
652	14017	7448
653	14040	7427
654	14062	7406
655	14084	7385
656	14107	7365
657	14166	7363
658	14202	7349
659	14243	7337
660	14300	7334
661	14356	7330
662	14375	7307
663	14437	7305
664	14462	7285
665	14515	7279
666	14540	7259
667	14564	7238
668	14586	7216
669	14602	7192
670	14623	7170
671	14651	7151
672	14676	7131
673	14702	7111
674	14725	7090
675	14749	7069
676	14772	7048
677	14795	7026
678	14816	7004
679	14838	6982
680	14861	6961
681	14883	6939
682	14903	6916
683	14921	6893
684	14936	6868
685	14952	6844
686	14971	6821
687	14987	6796
688	15004	6772
689	15020	6748
690	15032	6722
691	15050	6698
692	15067	6674
693	15084	6650
694	15100	6626
695	15117	6603
696	15132	6578
697	15148	6554
698	15167	6531
699	15182	6506
700	15199	6483
701	15213	6458
702	15237	6437
703	15257	6415
704	15278	6393
705	15296	6370
706	15314	6346
707	15334	6324
708	15353	6301
709	15381	6282
710	15397	6258
711	15414	6234
712	15426	6209
713	15442	6185
714	15462	6163
715	15477	6139
716	15496	6116
717	15514	6093
718	15532	6070
719	15548	6046
720	15563	6022
721	15579	5998
722	15597	5975
723	15607	5949
724	15623	5926
725	15640	5903
726	15668	5883
727	15692	5863
728	15711	5840
729	15727	5816
730	15743	5793
731	15761	5770
732	15780	5748
733	15803	5727
734	15832	5708
735	15857	5687
736	15882	5667
737	15910	5648
738	15954	5634
739	15981	5615
740	16013	5597
741	16042	5578
742	16064	5556
743	16085	5534
744	16104	5512
745	16134	5493
746	16158	5472
747	16189	5454
748	16220	5435
749	16273	5424
750	16304	5406
751	16331	5385
752	16352	5363
753	16370	5341
754	16390	5318
755	16406	5295
756	16423	5272
757	16439	5248
758	16458	5225
759	16476	5203
760	16493	5179
761	16508	5156
762	16528	5134
763	16561	5115
764	16593	5097
765	16627	5079
766	16660	5061
767	16707	5046
768	16735	5027
769	16788	5014
770	16820	4995
771	16874	4983
772	16912	4966
773	16955	4950
774	16979	4929
775	17000	4907
776	17021	4885
777	17054	4866
778	17068	4842
779	17089	4820
780	17111	4798
781	17129	4775
782	17150	4753
783	17173	4731
784	17193	4709
785	17215	4687
786	17232	4664
787	17255	4642
788	17273	4619
789	17291	4596
790	17315	4575
791	17335	4552
792	17356	4530
793	17373	4507
794	17404	4487
795	17422	4465
796	17444	4443
797	17466	4421
798	17487	4399
799	17511	4377
800	17532	4355
801	17553	4333
802	17583	4313
803	17610	4293
804	17634	4271
805	17655	4249
806	17678	4228
807	17699	4205
808	17718	4183
809	17736	4160
810	17755	4137
811	17773	4115
812	17791	4092
813	17803	4068
814	17818	4044
815	17832	4021
816	17847	3997
817	17864	3974
818	17881	3951
819	17899	3929
820	17921	3907
821	17936	3884
822	17952	3861
823	17967	3837
824	17982	3814
825	17997	3791
826	18013	3768
827	18029	3745
828	18044	3722
829	18060	3699
830	18075	3676
831	18089	3652
832	18105	3629
833	18121	3606
834	18136	3583
835	18152	3560
836	18173	3539
837	18191	3516
838	18207	3493
839	18222	3471
840	18241	3448
841	18257	3425
842	18270	3402
843	18295	3381
844	18313	3359
845	18337	3337
846	18358	3316
847	18376	3293
848	18398	3272
849	18417	3250
850	18435	3227
851	18451	3205
852	18468	3182
853	18489	3160
854	18506	3138
855	18523	3116
856	18539	3093
857	18552	3070
858	18571	3048
859	18590	3026
860	18608	3004
861	18628	2982
862	18645	2959
863	18661	2937
864	18681	2915
865	18697	2893
866	18712	2870
867	18725	2847
868	18740	2825
869	18756	2802
870	18772	2780
871	18788	2757
872	18803	2735
873	18818	2713
874	18834	2690
875	18849	2668
876	18864	2645
877	18879	2623
878	18892	2600
879	18907	2578
880	18923	2556
881	18938	2533
882	18951	2511
883	18967	2488
884	18982	2466
885	19005	2445
886	19024	2423
887	19043	2401
888	19068	2380
889	19093	2359
890	19116	2338
891	19132	2316
892	19147	2294
893	19166	2272
894	19184	2250
895	19202	2228
896	19233	2208
897	19250	2186
898	19268	2164
899	19284	2142
900	19302	2120
901	19320	2099
902	19336	2077
903	19353	2055
904	19369	2033
905	19386	2011
906	19405	1989
907	19421	1967
908	19435	1945
909	19449	1923
910	19463	1901
911	19477	1879
912	19500	1858
913	19518	1836
914	19535	1814
915	19551	1792
916	19566	1770
917	19580	1749
918	19596	1727
919	19611	1705
920	19627	1683
921	19641	1661
922	19655	1639
923	19671	1617
924	19683	1595
925	19698	1574
926	19713	1552
927	19728	1530
928	19742	1508
929	19757	1487
930	19771	1465
931	19784	1443
932	19797	1421
933	19812	1400
934	19825	1378
935	19841	1356
936	19855	1334
937	19867	1313
938	19882	1291
939	19897	1270
940	19911	1248
941	19926	1226
942	19940	1205
943	19957	1183
944	19975	1162
945	19996	1141
946	20012	1120
947	20029	1098
948	20043	1077
949	20059	1055
950	20074	1034
951	20090	1012
952	20105	991
953	20121	970
954	20139	948
955	20153	927
956	20170	906
957	20185	884
958	20199	863
959	20213	842
960	20226	820
961	20243	799
962	20255	778
963	20270	756
964	20283	735
965	20296	714
966	20310	693
967	20323	671
968	20337	650
969	20351	629
970	20365	608
971	20380	587
972	20394	565
973	20408	544
974	20426	523
975	20445	502
976	20462	481
977	20481	460
978	20497	439
979	20510	418
980	20524	397
981	20538	376
982	20551	355
983	20561	334
984	20574	313
985	20590	292
986	20604	271
987	20618	250
988	20632	229
989	20646	208
990	20660	187
991	20676	166
992	20690	145
993	20701	124
994	20714	104
995	20727	83
996	20741	62
997	20754	41
998	20767	20
999	20784	0
